This architecture has 519 events.
Event tags (tag, id, umask, counters<, options>):
ACTUAL_CPU_CLOCK, 0x1, 0x0, FIXC1
L2_WCB_REQ_WRITE, 0x63, 0x40, PMC
CORE_TO_L2_CACHE_REQUESTS_IC_FILL_MISS, 0x64, 0x1, PMC
CORE_TO_L2_CACHE_REQUESTS_IC_FILL_HIT_S, 0x64, 0x2, PMC
CORE_TO_L2_CACHE_REQUESTS_IC_FILL_HIT_X, 0x64, 0x4, PMC
CORE_TO_L2_CACHE_REQUESTS_LD_READ_BLK_C, 0x64, 0x8, PMC
CORE_TO_L2_CACHE_REQUESTS_LD_READ_BLK_X, 0x64, 0x10, PMC
CORE_TO_L2_CACHE_REQUESTS_LD_READ_BLK_L_HIT_S, 0x64, 0x20, PMC
CORE_TO_L2_CACHE_REQUESTS_LD_READ_BLK_L_HIT_X, 0x64, 0x40, PMC
CORE_TO_L2_CACHE_REQUESTS_LD_READ_BLK_CS, 0x64, 0x80, PMC
CORE_TO_L2_CACHE_REQUESTS_MISSES, 0x64, 0x9, PMC
CORE_TO_L2_CACHE_REQUESTS_HITS, 0x64, 0xF6, PMC
L2_PF_HIT_IN_L2_L2PREF, 0x70, 0x1F, PMC
L2_PF_HIT_IN_L2_L1DCPREF, 0x70, 0xE0, PMC
L2_PF_HIT_IN_L2_ALLPREF, 0x70, 0xFF, PMC
L2_PF_HIT_IN_L3_L2PREF, 0x71, 0x1F, PMC
L2_PF_HIT_IN_L3_L1DCPREF, 0x71, 0xE0, PMC
L2_PF_HIT_IN_L3, 0x71, 0xFF, PMC
L2_PF_MISS_IN_L3_L2PREF, 0x72, 0x1F, PMC
L2_PF_MISS_IN_L3_L1DCPREF, 0x72, 0xE0, PMC
L2_PF_MISS_IN_L3, 0x72, 0xFF, PMC
L2_FILL_RSP_SRC_LOCAL_CCX, 0x165, 0x2, PMC
L2_FILL_RSP_SRC_NEAR_FAR_CACHE_NEAR, 0x165, 0x4, PMC
L2_FILL_RSP_SRC_DRAM_IO_NEAR, 0x165, 0x8, PMC
L2_FILL_RSP_SRC_NEAR_FAR_CACHE_FAR, 0x165, 0x10, PMC
L2_FILL_RSP_SRC_DRAM_IO_FAR, 0x165, 0x40, PMC
L2_FILL_RSP_SRC_ALTERNATE_MEMORY_NEAR_FAR, 0x165, 0x80, PMC
L3_LOOKUP_STATE_MISS, 0x4, 0x1, CPMC
L3_LOOKUP_STATE_HIT, 0x4, 0xFE, CPMC
L3_LOOKUP_STATE_ALL_TYPES, 0x4, 0xFF, CPMC
L3_XI_SAMPLED_LATENCY_DRAM_NEAR, 0xAC, 0x1, CPMC
L3_XI_SAMPLED_LATENCY_DRAM_FAR, 0xAC, 0x2, CPMC
L3_XI_SAMPLED_LATENCY_NEAR_CACHE_FAR_CACHE_NEAR, 0xAC, 0x4, CPMC
L3_XI_SAMPLED_LATENCY_NEAR_CACHE_FAR_CACHE_FAR, 0xAC, 0x8, CPMC
L3_XI_SAMPLED_LATENCY_EXT_NEAR, 0xAC, 0x10, CPMC
L3_XI_SAMPLED_LATENCY_EXT_FAR, 0xAC, 0x20, CPMC
L3_XI_SAMPLED_LATENCY_REQUESTS_DRAM_NEAR, 0xAD, 0x1, CPMC, SLICE=0x3
L3_XI_SAMPLED_LATENCY_REQUESTS_DRAM_FAR, 0xAD, 0x2, CPMC, SLICE=0x3
L3_XI_SAMPLED_LATENCY_REQUESTS_NEAR_CACHE_FAR_CACHE_NEAR, 0xAD, 0x4, CPMC, SLICE=0x3
L3_XI_SAMPLED_LATENCY_REQUESTS_NEAR_CACHE_FAR_CACHE_FAR, 0xAD, 0x8, CPMC, SLICE=0x3
L3_XI_SAMPLED_LATENCY_REQUESTS_EXT_NEAR, 0xAD, 0x10, CPMC, SLICE=0x3
L3_XI_SAMPLED_LATENCY_REQUESTS_EXT_FAR, 0xAD, 0x20, CPMC, SLICE=0x3
RAPL_CORE_ENERGY, 0x1, 0x0, PWR0
RAPL_L3_ENERGY, 0x3, 0x0, PWR2
DRAM_READS_LOCAL_CHANNEL_0, 0x1F, 0x7FE, DFC
DRAM_READS_LOCAL_CHANNEL_1, 0x5F, 0x7FE, DFC
DRAM_READS_LOCAL_CHANNEL_2, 0x9F, 0x7FE, DFC
DRAM_READS_LOCAL_CHANNEL_3, 0xDF, 0x7FE, DFC
DRAM_READS_LOCAL_CHANNEL_4, 0x11F, 0x7FE, DFC
DRAM_READS_LOCAL_CHANNEL_5, 0x15F, 0x7FE, DFC
DRAM_READS_LOCAL_CHANNEL_6, 0x19F, 0x7FE, DFC
DRAM_READS_LOCAL_CHANNEL_7, 0x1DF, 0x7FE, DFC
DRAM_READS_LOCAL_CHANNEL_8, 0x21F, 0x7FE, DFC
DRAM_READS_LOCAL_CHANNEL_9, 0x25F, 0x7FE, DFC
DRAM_READS_LOCAL_CHANNEL_10, 0x29F, 0x7FE, DFC
DRAM_READS_LOCAL_CHANNEL_11, 0x2DF, 0x7FE, DFC
DRAM_WRITES_LOCAL_CHANNEL_0, 0x1F, 0x7FF, DFC
DRAM_WRITES_LOCAL_CHANNEL_1, 0x5F, 0x7FF, DFC
DRAM_WRITES_LOCAL_CHANNEL_2, 0x9F, 0x7FF, DFC
DRAM_WRITES_LOCAL_CHANNEL_3, 0xDF, 0x7FF, DFC
DRAM_WRITES_LOCAL_CHANNEL_4, 0x11F, 0x7FF, DFC
DRAM_WRITES_LOCAL_CHANNEL_5, 0x15F, 0x7FF, DFC
DRAM_WRITES_LOCAL_CHANNEL_6, 0x19F, 0x7FF, DFC
DRAM_WRITES_LOCAL_CHANNEL_7, 0x1DF, 0x7FF, DFC
DRAM_WRITES_LOCAL_CHANNEL_8, 0x21F, 0x7FF, DFC
DRAM_WRITES_LOCAL_CHANNEL_9, 0x25F, 0x7FF, DFC
DRAM_WRITES_LOCAL_CHANNEL_10, 0x29F, 0x7FF, DFC
DRAM_WRITES_LOCAL_CHANNEL_11, 0x2DF, 0x7FF, DFC
DRAM_READS_REMOTE_CHANNEL_0, 0x1F, 0xBFE, DFC
DRAM_READS_REMOTE_CHANNEL_1, 0x5F, 0xBFE, DFC
DRAM_READS_REMOTE_CHANNEL_2, 0x9F, 0xBFE, DFC
DRAM_READS_REMOTE_CHANNEL_3, 0xDF, 0xBFE, DFC
DRAM_READS_REMOTE_CHANNEL_4, 0x11F, 0xBFE, DFC
DRAM_READS_REMOTE_CHANNEL_5, 0x15F, 0xBFE, DFC
DRAM_READS_REMOTE_CHANNEL_6, 0x19F, 0xBFE, DFC
DRAM_READS_REMOTE_CHANNEL_7, 0x1DF, 0xBFE, DFC
DRAM_READS_REMOTE_CHANNEL_8, 0x21F, 0xBFE, DFC
DRAM_READS_REMOTE_CHANNEL_9, 0x25F, 0xBFE, DFC
DRAM_READS_REMOTE_CHANNEL_10, 0x29F, 0xBFE, DFC
DRAM_READS_REMOTE_CHANNEL_11, 0x2DF, 0xBFE, DFC
DRAM_WRITES_REMOTE_CHANNEL_0, 0x1F, 0xBFF, DFC
DRAM_WRITES_REMOTE_CHANNEL_1, 0x5F, 0xBFF, DFC
DRAM_WRITES_REMOTE_CHANNEL_2, 0x9F, 0xBFF, DFC
DRAM_WRITES_REMOTE_CHANNEL_3, 0xDF, 0xBFF, DFC
DRAM_WRITES_REMOTE_CHANNEL_4, 0x11F, 0xBFF, DFC
DRAM_WRITES_REMOTE_CHANNEL_5, 0x15F, 0xBFF, DFC
DRAM_WRITES_REMOTE_CHANNEL_6, 0x19F, 0xBFF, DFC
DRAM_WRITES_REMOTE_CHANNEL_7, 0x1DF, 0xBFF, DFC
DRAM_WRITES_REMOTE_CHANNEL_8, 0x21F, 0xBFF, DFC
DRAM_WRITES_REMOTE_CHANNEL_9, 0x25F, 0xBFF, DFC
DRAM_WRITES_REMOTE_CHANNEL_10, 0x29F, 0xBFF, DFC
DRAM_WRITES_REMOTE_CHANNEL_11, 0x2DF, 0xBFF, DFC
DRAM_DMA_READS_LOCAL_0, 0x81F, 0x7FF, DFC
DRAM_DMA_READS_LOCAL_1, 0x85F, 0x7FF, DFC
DRAM_DMA_READS_LOCAL_2, 0x89F, 0x7FF, DFC
DRAM_DMA_READS_LOCAL_3, 0x8DF, 0x7FF, DFC
DRAM_DMA_WRITES_LOCAL_0, 0x81F, 0x7FF, DFC
DRAM_DMA_WRITES_LOCAL_1, 0x85F, 0x7FF, DFC
DRAM_DMA_WRITES_LOCAL_2, 0x89F, 0x7FF, DFC
DRAM_DMA_WRITES_LOCAL_3, 0x8DF, 0x7FF, DFC
DRAM_DMA_READS_REMOTE_0, 0x81F, 0xBFF, DFC
DRAM_DMA_READS_REMOTE_1, 0x85F, 0xBFF, DFC
DRAM_DMA_READS_REMOTE_2, 0x89F, 0xBFF, DFC
DRAM_DMA_READS_REMOTE_3, 0x8DF, 0xBFF, DFC
DRAM_DMA_WRITES_REMOTE_0, 0x81F, 0xBFF, DFC
DRAM_DMA_WRITES_REMOTE_1, 0x85F, 0xBFF, DFC
DRAM_DMA_WRITES_REMOTE_2, 0x89F, 0xBFF, DFC
DRAM_DMA_WRITES_REMOTE_3, 0x8DF, 0xBFF, DFC
LOCAL_INBOUND_DATA_0, 0x41E, 0x7FE, DFC
LOCAL_INBOUND_DATA_1, 0x41F, 0x7FE, DFC
LOCAL_INBOUND_DATA_2, 0x45E, 0x7FE, DFC
LOCAL_INBOUND_DATA_3, 0x45F, 0x7FE, DFC
LOCAL_INBOUND_DATA_4, 0x49E, 0x7FE, DFC
LOCAL_INBOUND_DATA_5, 0x49F, 0x7FE, DFC
LOCAL_INBOUND_DATA_6, 0x4DE, 0x7FE, DFC
LOCAL_INBOUND_DATA_7, 0x4DF, 0x7FE, DFC
LOCAL_INBOUND_DATA_8, 0x51E, 0x7FE, DFC
LOCAL_INBOUND_DATA_9, 0x51F, 0x7FE, DFC
LOCAL_INBOUND_DATA_10, 0x55E, 0x7FE, DFC
LOCAL_INBOUND_DATA_11, 0x55F, 0x7FE, DFC
LOCAL_INBOUND_DATA_12, 0x59E, 0x7FE, DFC
LOCAL_INBOUND_DATA_13, 0x59F, 0x7FE, DFC
LOCAL_INBOUND_DATA_14, 0x5DE, 0x7FE, DFC
LOCAL_INBOUND_DATA_15, 0x5DF, 0x7FE, DFC
LOCAL_OUTBOUND_DATA_0, 0x41E, 0x7FF, DFC
LOCAL_OUTBOUND_DATA_1, 0x41F, 0x7FF, DFC
LOCAL_OUTBOUND_DATA_2, 0x45E, 0x7FF, DFC
LOCAL_OUTBOUND_DATA_3, 0x45F, 0x7FF, DFC
LOCAL_OUTBOUND_DATA_4, 0x49E, 0x7FF, DFC
LOCAL_OUTBOUND_DATA_5, 0x49F, 0x7FF, DFC
LOCAL_OUTBOUND_DATA_6, 0x4DE, 0x7FF, DFC
LOCAL_OUTBOUND_DATA_7, 0x4DF, 0x7FF, DFC
LOCAL_OUTBOUND_DATA_8, 0x51E, 0x7FF, DFC
LOCAL_OUTBOUND_DATA_9, 0x51F, 0x7FF, DFC
LOCAL_OUTBOUND_DATA_10, 0x55E, 0x7FF, DFC
LOCAL_OUTBOUND_DATA_11, 0x55F, 0x7FF, DFC
LOCAL_OUTBOUND_DATA_12, 0x59E, 0x7FF, DFC
LOCAL_OUTBOUND_DATA_13, 0x59F, 0x7FF, DFC
LOCAL_OUTBOUND_DATA_14, 0x5DE, 0x7FF, DFC
LOCAL_OUTBOUND_DATA_15, 0x5DF, 0x7FF, DFC
REMOTE_INBOUND_DATA_0, 0x41E, 0xBFE, DFC
REMOTE_INBOUND_DATA_1, 0x41F, 0xBFE, DFC
REMOTE_INBOUND_DATA_2, 0x45E, 0xBFE, DFC
REMOTE_INBOUND_DATA_3, 0x45F, 0xBFE, DFC
REMOTE_INBOUND_DATA_4, 0x49E, 0xBFE, DFC
REMOTE_INBOUND_DATA_5, 0x49F, 0xBFE, DFC
REMOTE_INBOUND_DATA_6, 0x4DE, 0xBFE, DFC
REMOTE_INBOUND_DATA_7, 0x4DF, 0xBFE, DFC
REMOTE_INBOUND_DATA_8, 0x51E, 0xBFE, DFC
REMOTE_INBOUND_DATA_9, 0x51F, 0xBFE, DFC
REMOTE_INBOUND_DATA_10, 0x55E, 0xBFE, DFC
REMOTE_INBOUND_DATA_11, 0x55F, 0xBFE, DFC
REMOTE_INBOUND_DATA_12, 0x59E, 0xBFE, DFC
REMOTE_INBOUND_DATA_13, 0x59F, 0xBFE, DFC
REMOTE_INBOUND_DATA_14, 0x5DE, 0xBFE, DFC
REMOTE_INBOUND_DATA_15, 0x5DF, 0xBFE, DFC
REMOTE_OUTBOUND_DATA_0, 0x41E, 0xBFF, DFC
REMOTE_OUTBOUND_DATA_1, 0x41F, 0xBFF, DFC
REMOTE_OUTBOUND_DATA_2, 0x45E, 0xBFF, DFC
REMOTE_OUTBOUND_DATA_3, 0x45F, 0xBFF, DFC
REMOTE_OUTBOUND_DATA_4, 0x49E, 0xBFF, DFC
REMOTE_OUTBOUND_DATA_5, 0x49F, 0xBFF, DFC
REMOTE_OUTBOUND_DATA_6, 0x4DE, 0xBFF, DFC
REMOTE_OUTBOUND_DATA_7, 0x4DF, 0xBFF, DFC
REMOTE_OUTBOUND_DATA_8, 0x51E, 0xBFF, DFC
REMOTE_OUTBOUND_DATA_9, 0x51F, 0xBFF, DFC
REMOTE_OUTBOUND_DATA_10, 0x55E, 0xBFF, DFC
REMOTE_OUTBOUND_DATA_11, 0x55F, 0xBFF, DFC
REMOTE_OUTBOUND_DATA_12, 0x59E, 0xBFF, DFC
REMOTE_OUTBOUND_DATA_13, 0x59F, 0xBFF, DFC
REMOTE_OUTBOUND_DATA_14, 0x5DE, 0xBFF, DFC
REMOTE_OUTBOUND_DATA_15, 0x5DF, 0xBFF, DFC
LOCAL_OUTBOUND_ALL_LINKS_0, 0xB5F, 0xF3E, DFC
LOCAL_OUTBOUND_ALL_LINKS_1, 0xB9F, 0xF3E, DFC
LOCAL_OUTBOUND_ALL_LINKS_2, 0xBDF, 0xF3E, DFC
LOCAL_OUTBOUND_ALL_LINKS_3, 0xC1F, 0xF3E, DFC
LOCAL_OUTBOUND_ALL_LINKS_4, 0xC5F, 0xF3E, DFC
LOCAL_OUTBOUND_ALL_LINKS_5, 0xC9F, 0xF3E, DFC
LOCAL_OUTBOUND_ALL_LINKS_6, 0xCDF, 0xF3E, DFC
LOCAL_OUTBOUND_ALL_LINKS_7, 0xD5F, 0xF1F, DFC
